datetime,actual_demand,Price,Peak_Hour
2020-01-01 00:00:00,995.3928399148464,12143.792646961128,0.0
2020-01-01 01:00:00,979.961300411963,11955.527865025948,0.0
2020-01-01 02:00:00,961.7776572892147,11733.68741892842,0.0
2020-01-01 03:00:00,948.07084646313,11566.464326850182,0.0
2020-01-01 04:00:00,930.338407496963,11350.128571462948,0.0
2020-01-01 05:00:00,917.000926138902,11187.411298894604,0.0
2020-01-01 06:00:00,879.8958217757256,10734.72902566385,0.0
2020-01-01 07:00:00,882.0990812060568,10761.608790713892,0.0
2020-01-01 08:00:00,913.5514687853042,11145.32791918071,0.0
2020-01-01 09:00:00,946.8374710199712,11551.417146443648,0.0
2020-01-01 10:00:00,950.1271728837012,11591.551509181152,0.0
2020-01-01 11:00:00,967.473045605306,11803.17115638473,0.0
2020-01-01 12:00:00,968.5029430034748,11815.73590464239,0.0
2020-01-01 13:00:00,961.2431070119326,11727.165905545577,0.0
2020-01-01 14:00:00,962.4135261798076,11741.445019393655,0.0
2020-01-01 15:00:00,964.5168333266756,11767.10536658544,0.0
2020-01-01 16:00:00,954.9958265397252,11650.949083784642,0.0
2020-01-01 17:00:00,949.0228630599884,11578.078929331856,0.0
2020-01-01 18:00:00,1052.7213076585797,12843.199953434672,0.0
2020-01-01 19:00:00,1094.091147885161,13347.91200419896,0.0
2020-01-01 20:00:00,1098.692526402544,13404.048822111035,0.0
2020-01-01 21:00:00,1091.662233825391,13318.279252669769,0.0
2020-01-01 22:00:00,1037.4337583011693,12656.691851274263,0.0
2020-01-01 23:00:00,1042.390277476621,12717.161385214771,0.0
2020-01-02 00:00:00,1112.014032211618,13566.571192981735,0.0
2020-01-02 01:00:00,1077.2568080380215,13142.533058063862,0.0
2020-01-02 02:00:00,1013.0204918919358,12358.850001081615,0.0
2020-01-02 03:00:00,993.6782010584604,12122.874052913216,0.0
2020-01-02 04:00:00,986.4148966911516,12034.261739632044,0.0
2020-01-02 05:00:00,993.7208725906224,12123.394645605596,0.0
2020-01-02 06:00:00,986.339328140352,12033.339803312294,0.0
2020-01-02 07:00:00,1030.6530836769352,12573.96762085861,0.0
2020-01-02 08:00:00,1141.70721756099,13928.828054244075,0.0
2020-01-02 09:00:00,1242.1079725213583,15153.717264760568,0.0
2020-01-02 10:00:00,1358.1481593260305,16569.407543777572,0.0
2020-01-02 11:00:00,1379.7176729133173,16832.55560954247,0.0
2020-01-02 12:00:00,1336.63371934183,16306.931375970324,0.0
2020-01-02 13:00:00,1310.8151301332375,15991.944587625498,0.0
2020-01-02 14:00:00,1319.7436752778287,16100.872838389509,0.0
2020-01-02 15:00:00,1285.995958656984,15689.150695615202,0.0
2020-01-02 16:00:00,1249.580850866823,15244.88638057524,0.0
2020-01-02 17:00:00,1204.862346388475,14699.320625939396,0.0
2020-01-02 18:00:00,1244.705996175337,15185.41315333911,0.0
2020-01-02 19:00:00,1275.5527843252296,15561.7439687678,0.0
2020-01-02 20:00:00,1239.2176593822985,15118.455444464042,0.0
2020-01-02 21:00:00,1204.0783883628667,14689.75633802697,0.0
2020-01-02 22:00:00,1160.6974157029797,14160.508471576351,0.0
2020-01-02 23:00:00,1120.005800592266,13664.070767225645,0.0
2020-01-13 00:00:00,1042.5800922231351,12719.477125122248,0.0
2020-01-13 01:00:00,1003.3179734398524,12240.479275966196,0.0
2020-01-13 02:00:00,960.1250287874484,11713.525351206868,0.0
2020-01-13 03:00:00,926.59781678354,11304.493364759184,0.0
2020-01-13 04:00:00,915.199367683752,11165.432285741774,0.0
2020-01-13 05:00:00,925.7752862153116,11294.458491826796,0.0
2020-01-13 06:00:00,965.5861440858316,11780.150957847143,0.0
2020-01-13 07:00:00,1075.890478190466,13125.863833923686,0.0
2020-01-13 08:00:00,1262.724418488827,15405.237905563688,0.0
2020-01-13 09:00:00,1384.9314825092931,16896.164086613375,0.0
2020-01-13 10:00:00,1456.6262779862964,17770.840591432814,1.0
2020-01-13 11:00:00,1504.9287707570782,18360.13100323635,1.0
2020-01-13 12:00:00,1516.1813378700651,18497.412322014792,1.0
2020-01-13 13:00:00,1530.9128960818166,18677.137332198163,1.0
2020-01-13 14:00:00,1547.0549271054292,18874.070110686236,1.0
2020-01-13 15:00:00,1516.18512155272,18497.45848294318,1.0
2020-01-13 16:00:00,1419.9430542391267,17323.30526171734,0.0
2020-01-13 17:00:00,1294.783982031869,15796.3645807888,0.0
2020-01-13 18:00:00,1301.77654288477,15881.673823194194,0.0
2020-01-13 19:00:00,1328.1065598655323,16202.900030359491,0.0
2020-01-13 20:00:00,1287.2106258914607,15703.96963587582,0.0
2020-01-13 21:00:00,1242.2343054811092,15155.25852686953,0.0
2020-01-13 22:00:00,1200.0694714878427,14640.847552151678,0.0
2020-01-13 23:00:00,1129.1981524997316,13776.217460496722,0.0
2020-01-14 00:00:00,1128.0638885216686,13762.379439964352,0.0
2020-01-14 01:00:00,1073.2403237976885,13093.531950331797,0.0
2020-01-14 02:00:00,1046.397302510317,12766.047090625869,0.0
2020-01-14 03:00:00,1024.986072980755,12504.830090365209,0.0
2020-01-14 04:00:00,1002.0856490196536,12225.444918039766,0.0
2020-01-14 05:00:00,1032.4507533471344,12595.89919083504,0.0
2020-01-14 06:00:00,1065.8374435813369,13003.216811692306,0.0
2020-01-14 07:00:00,1146.923970021253,13992.472434259282,0.0
2020-01-14 08:00:00,1300.716901536843,15868.74619874948,0.0
2020-01-14 09:00:00,1407.6771958907332,17173.661789866943,0.0
2020-01-14 10:00:00,1471.2674482235177,17949.462868326907,1.0
2020-01-14 11:00:00,1519.0281386585953,18532.14329163486,1.0
2020-01-14 12:00:00,1513.9030354004146,18469.617031885056,1.0
2020-01-14 13:00:00,1544.4502820068046,18842.29344048301,1.0
2020-01-14 14:00:00,1561.4123211435422,19049.230317951213,1.0
2020-01-14 15:00:00,1522.5364532979338,18574.94473023479,1.0
2020-01-14 16:00:00,1434.828482212172,17504.907482988496,0.0
2020-01-14 17:00:00,1307.9763171192012,15957.311068854253,0.0
2020-01-14 18:00:00,1291.3221226073474,15754.129895809636,0.0
2020-01-14 19:00:00,1322.8464001570353,16138.72608191583,0.0
2020-01-14 20:00:00,1288.6113241897974,15721.058155115525,0.0
2020-01-14 21:00:00,1245.3250486985755,15192.96559412262,0.0
2020-01-14 22:00:00,1181.5532847006589,14414.950073348033,0.0
2020-01-14 23:00:00,1147.5612052416934,14000.246703948656,0.0
2020-01-15 00:00:00,1103.0559533218604,13457.282630526695,0.0
2020-01-15 01:00:00,1058.9128839139255,12918.73718374989,0.0
2020-01-15 02:00:00,1017.5210773074876,12413.757143151346,0.0
2020-01-15 03:00:00,1003.9788566768852,12248.542051457998,0.0
2020-01-15 04:00:00,983.4085506173456,11997.584317531611,0.0
2020-01-15 05:00:00,1017.0559996478388,12408.083195703632,0.0
2020-01-15 06:00:00,1034.0839379241472,12615.824042674594,0.0
2020-01-15 07:00:00,1133.989030456741,13834.666171572237,0.0
2020-01-15 08:00:00,1306.9638667021625,15944.95917376638,0.0
2020-01-15 09:00:00,1389.5401130850978,16952.38937963819,0.0
2020-01-15 10:00:00,1494.3668308308822,18231.27533613676,1.0
2020-01-15 11:00:00,1506.2748158615125,18376.55275351045,1.0
2020-01-15 12:00:00,1525.0454553072295,18605.5545547482,1.0
2020-01-15 13:00:00,1536.0034206846246,18739.241732352417,1.0
2020-01-15 14:00:00,1559.35420798394,19024.121337404064,1.0
2020-01-15 15:00:00,1538.549734008988,18770.306754909656,1.0
2020-01-15 16:00:00,1440.4600734346118,17573.61289590226,0.0
2020-01-15 17:00:00,1343.629643468202,16392.281650312063,0.0
2020-01-15 18:00:00,1332.635838207883,16258.157226136163,0.0
2020-01-15 19:00:00,1381.1963571152603,16850.595556806173,0.0
2020-01-15 20:00:00,1344.6201275053838,16404.36555556568,0.0
2020-01-15 21:00:00,1332.2216300594814,16253.103886725672,0.0
2020-01-15 22:00:00,1268.8423180347006,15479.876280023343,0.0
2020-01-15 23:00:00,1232.457269501186,15035.978687914465,0.0
2020-01-16 00:00:00,1152.4884008765705,14060.358490694158,0.0
2020-01-16 01:00:00,1084.5972574905695,13232.086541384946,0.0
2020-01-16 02:00:00,1031.284328066506,12581.668802411372,0.0
2020-01-16 03:00:00,1009.8212831050326,12319.819653881395,0.0
2020-01-16 04:00:00,989.7836354814476,12075.360352873658,0.0
2020-01-16 05:00:00,1011.0931259885148,12335.336137059878,0.0
2020-01-16 06:00:00,1076.3369527437287,13131.310823473492,0.0
2020-01-16 07:00:00,1153.7165212049306,14075.341558700156,0.0
2020-01-16 08:00:00,1337.0555999578366,16312.078319485605,0.0
2020-01-16 09:00:00,1409.045627784208,17190.35665896734,0.0
2020-01-16 10:00:00,1518.8836230016425,18530.380200620035,1.0
2020-01-16 11:00:00,1546.150732053235,18863.03893104947,1.0
2020-01-16 12:00:00,1563.349251355896,19072.860866541927,1.0
2020-01-16 13:00:00,1594.3316214675845,19450.84578190453,1.0
2020-01-16 14:00:00,1609.0211387609495,19630.05789288358,1.0
2020-01-16 15:00:00,1578.337154067508,19255.713279623596,1.0
2020-01-16 16:00:00,1509.7065109270918,18418.41943331052,1.0
2020-01-16 17:00:00,1376.297223793406,16790.82613027955,0.0
2020-01-16 18:00:00,1375.2518763577302,16778.072891564305,0.0
2020-01-16 19:00:00,1407.1313996677827,17167.00307594695,0.0
2020-01-16 20:00:00,1376.16815817396,16789.251529722314,0.0
2020-01-16 21:00:00,1340.911803196822,16359.123999001227,0.0
2020-01-16 22:00:00,1288.4359084578302,15718.918083185526,0.0
2020-01-16 23:00:00,1224.0941747088907,14933.948931448464,0.0
2020-01-17 00:00:00,1159.4526892118568,14145.32280838465,0.0
2020-01-17 01:00:00,1132.1099065071685,13811.74085938745,0.0
2020-01-17 02:00:00,1059.5249996856303,12926.20499616469,0.0
2020-01-17 03:00:00,1056.055047384319,12883.871578088692,0.0
2020-01-17 04:00:00,1048.9049381897655,12796.640245915136,0.0
2020-01-17 05:00:00,1070.3870066668087,13058.721481335064,0.0
2020-01-17 06:00:00,1090.0467064341003,13298.569818496027,0.0
2020-01-17 07:00:00,1175.1182915278562,14336.443156639843,0.0
2020-01-17 08:00:00,1369.163825863911,16703.79867553971,0.0
2020-01-17 09:00:00,1442.2373532593938,17595.295709764603,0.0
2020-01-17 10:00:00,1576.6334458499025,19234.9280393688,1.0
2020-01-17 11:00:00,1629.0008750194577,19873.81067523738,1.0
2020-01-17 12:00:00,1678.518560536196,20477.926438541585,1.0
2020-01-17 13:00:00,1732.9833060217486,21142.39633346533,1.0
2020-01-17 14:00:00,1754.882,21409.5604,1.0
2020-01-17 15:00:00,1731.5470831473758,21124.874414397986,1.0
2020-01-17 16:00:00,1602.2091436525177,19546.951552560717,1.0
2020-01-17 17:00:00,1493.0508449830943,18215.22030879375,1.0
2020-01-17 18:00:00,1586.147831192207,19351.00354054492,1.0
2020-01-17 19:00:00,1623.8840748426585,19811.385713080428,1.0
2020-01-17 20:00:00,1589.5939252723338,19393.04588832247,1.0
2020-01-17 21:00:00,1571.6433990420378,19174.049468312856,1.0
2020-01-17 22:00:00,1477.42549684645,18024.591061526688,1.0
2020-01-17 23:00:00,1410.554791651981,17208.768458154165,0.0
2020-01-17 00:00:00,1159.4526892118568,14145.32280838465,0.0
2020-01-17 01:00:00,1132.1099065071683,13811.74085938745,0.0
2020-01-17 02:00:00,1059.5249996856303,12926.20499616469,0.0
2020-01-17 03:00:00,1056.055047384319,12883.871578088692,0.0
2020-01-17 04:00:00,1048.9049381897655,12796.640245915136,0.0
2020-01-17 05:00:00,1070.3870066668087,13058.721481335064,0.0
2020-01-17 06:00:00,1090.0467064341005,13298.569818496027,0.0
2020-01-17 07:00:00,1175.1182915278562,14336.443156639845,0.0
2020-01-17 08:00:00,1369.163825863911,16703.79867553971,0.0
2020-01-17 09:00:00,1442.2373532593938,17595.295709764603,0.0
2020-01-17 10:00:00,1576.6334458499025,19234.928039368802,1.0
2020-01-17 11:00:00,1629.0008750194577,19873.81067523738,1.0
2020-01-17 12:00:00,1678.518560536196,20477.926438541585,1.0
2020-01-17 13:00:00,1732.9833060217486,21142.39633346533,1.0
2020-01-17 14:00:00,1754.882,21409.5604,1.0
2020-01-17 15:00:00,1731.5470831473758,21124.874414397982,1.0
2020-01-17 16:00:00,1602.2091436525175,19546.951552560713,1.0
2020-01-17 17:00:00,1493.0508449830943,18215.22030879375,1.0
2020-01-17 18:00:00,1586.147831192207,19351.00354054492,1.0
2020-01-17 19:00:00,1623.8840748426583,19811.385713080428,1.0
2020-01-17 20:00:00,1589.5939252723338,19393.04588832247,1.0
2020-01-17 21:00:00,1571.6433990420378,19174.049468312856,1.0
2020-01-17 22:00:00,1477.42549684645,18024.591061526688,1.0
2020-01-17 23:00:00,1410.554791651981,17208.768458154165,0.0
